,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
a_F*,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate
ã_F,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Collude,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Collude,Cooperate,Collude,Collude,Cooperate,Collude,Cooperate,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude,Collude,Collude,Collude,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Collude,Collude,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Collude,Collude,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Collude,Collude,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude
a_K*(FARC),Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue
ã_K(FARC),Continue,Release,Kill,Continue,Continue,Kill,Kill,Release,Continue,Continue,Kill,Continue,Kill,Release,Kill,Continue,Kill,Continue,Kill,Kill,Kill,Continue,Continue,Kill,Continue,Continue,Release,Release,Continue,Continue,Kill,Release,Continue,Kill,Continue,Release,Release,Release,Release,Kill,Kill,Kill,Continue,Release,Release,Continue,Continue,Kill,Kill,Continue,Continue,Continue,Kill,Continue,Release,Continue,Release,Release,Continue,Continue,Release,Continue,Continue,Kill,Kill,Continue,Kill,Continue,Release,Kill,Release,Release,Continue,Continue,Kill,Release,Kill,Release,Kill,Release,Release,Continue,Kill,Release,Continue,Release,Continue,Release,Continue,Kill,Continue,Kill,Release,Continue,Kill,Release,Continue,Release,Kill,Kill,Release,Continue,Continue,Release,Kill,Continue,Kill,Continue,Continue,Continue,Release,Release,Continue,Continue,Continue,Release,Kill,Release,Release,Release,Continue,Kill,Continue,Kill,Release,Kill,Release,Kill,Continue,Release,Kill,Release,Continue,Release,Release,Release,Continue,Kill,Release,Kill,Kill,Release,Continue,Kill,Continue,Release,Continue,Continue,Kill,Continue,Kill,Release,Release,Release,Continue,Continue,Continue,Release,Continue,Kill,Kill,Release,Kill,Release,Continue,Continue,Continue,Release,Release,Continue,Release,Continue,Kill,Release,Kill,Continue,Continue,Continue,Continue,Kill,Kill,Continue,Release,Continue,Kill,Continue,Kill,Kill,Continue,Continue,Release,Release,Continue,Kill,Continue,Continue,Kill,Continue,Release,Release,Continue
a_S*,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate
ã_S,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Rescue,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Rescue,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Rescue,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Rescue,Rescue,Rescue,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Rescue,Rescue,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Rescue
α_t*,0.2,0.5,0.5,0.99,0.76,0.76,0.76,0.74,0.74,0.74,0.74,0.74,0.76,0.74,0.74,0.77,0.76,0.77,0.77,0.77,0.77,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
γ_t*,0.1,0.5,0.5,0.84,0.73,0.72,0.72,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.71,0.6900000000000001,0.6900000000000001,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
γ_R(DC)*,0.23,0.23,0.8200000000000001,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.25,0.26,0.28,0.28,0.3,0.33,0.28,0.28,0.27,0.24,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
γ_R(PAR)*,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
