,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250
a_F*,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate
ã_F,Cooperate,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Collude,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Collude,Collude,Collude,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Collude,Collude,Cooperate,Collude,Collude,Collude,Cooperate,Cooperate,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Collude,Cooperate,Collude,Cooperate,Collude,Collude,Collude,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Collude,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Collude,Cooperate,Cooperate,Collude,Collude,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Cooperate,Collude,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Collude,Collude,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Collude,Collude,Cooperate,Collude,Collude,Collude,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Collude,Collude,Cooperate,Collude,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Collude,Collude,Collude,Cooperate,Cooperate,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Collude,Collude,Cooperate,Collude,Cooperate,Collude,Cooperate,Cooperate,Cooperate
a_K*(ELN),Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue
ã_K(ELN),Continue,Release,Kill,Release,Release,Kill,Continue,Release,Release,Release,Release,Continue,Kill,Continue,Kill,Kill,Kill,Kill,Continue,Kill,Kill,Release,Continue,Kill,Kill,Continue,Continue,Kill,Kill,Continue,Continue,Continue,Continue,Release,Release,Continue,Continue,Continue,Kill,Release,Kill,Kill,Continue,Continue,Continue,Release,Release,Kill,Continue,Continue,Kill,Kill,Release,Continue,Release,Continue,Continue,Continue,Continue,Kill,Continue,Continue,Kill,Release,Kill,Continue,Release,Continue,Continue,Continue,Continue,Release,Release,Kill,Release,Release,Continue,Release,Release,Kill,Release,Release,Continue,Kill,Release,Release,Continue,Continue,Continue,Kill,Kill,Continue,Release,Kill,Continue,Continue,Release,Release,Kill,Kill,Continue,Release,Continue,Continue,Continue,Kill,Continue,Kill,Continue,Continue,Continue,Continue,Kill,Continue,Continue,Release,Kill,Release,Continue,Continue,Continue,Continue,Kill,Kill,Release,Release,Kill,Release,Kill,Kill,Continue,Continue,Kill,Kill,Continue,Continue,Continue,Continue,Release,Kill,Release,Continue,Kill,Continue,Kill,Kill,Continue,Kill,Kill,Release,Continue,Kill,Release,Release,Kill,Kill,Release,Continue,Kill,Kill,Release,Continue,Kill,Continue,Continue,Continue,Kill,Continue,Release,Release,Continue,Release,Kill,Release,Continue,Continue,Kill,Kill,Release,Continue,Continue,Continue,Continue,Continue,Kill,Continue,Release,Release,Kill,Continue,Continue,Kill,Continue,Release,Continue,Continue,Continue,Release,Release,Kill,Continue,Release,Continue,Release,Release,Release,Release,Continue,Kill,Continue,Continue,Kill,Continue,Release,Continue,Release,Kill,Release,Continue,Continue,Continue,Continue,Release,Release,Kill,Continue,Continue,Continue,Continue,Continue,Release,Continue,Release,Continue,Release,Continue,Continue,Continue,Kill,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Release,Continue,Release,Continue
a_S*,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate
ã_S,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Rescue,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Rescue,Rescue,Rescue,Negotiate,Negotiate,Rescue,Rescue,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Rescue,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Rescue,Negotiate,Rescue,Rescue,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Rescue,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Rescue,Rescue,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Rescue,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Rescue,Rescue,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate,Negotiate,Negotiate,Negotiate,Rescue,Negotiate
α_t*,0.0,1.0,0.73,0.73,0.72,0.72,0.72,0.73,0.73,0.74,0.73,0.73,0.74,0.74,0.73,0.73,0.72,0.71,0.71,0.72,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.71,0.71,0.72,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.68,0.6900000000000001,0.67,0.68,0.68,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.71,0.71,0.7000000000000001,0.71,0.71,0.71,0.7000000000000001,0.71,0.71,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.72,0.71,0.71,0.71,0.71,0.71,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.71,0.71,0.71,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.71,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.71,0.71,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.68,0.6900000000000001,0.6900000000000001,0.68,0.68,0.68,0.68,0.68,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.6900000000000001,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.71,0.71,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7000000000000001,0.71,0.7000000000000001,0.7000000000000001,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
γ_t*,0.0,0.93,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.6900000000000001,0.6900000000000001,0.68,0.66,0.67,0.67,0.66,0.64,0.64,0.65,0.65,0.65,0.66,0.66,0.64,0.63,0.63,0.63,0.64,0.62,0.63,0.62,0.62,0.61,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.65,0.65,0.64,0.65,0.65,0.66,0.64,0.65,0.65,0.66,0.66,0.66,0.67,0.67,0.67,0.68,0.67,0.66,0.66,0.67,0.66,0.66,0.66,0.65,0.66,0.65,0.64,0.64,0.63,0.64,0.64,0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.66,0.65,0.64,0.65,0.65,0.63,0.63,0.63,0.62,0.61,0.62,0.62,0.61,0.6,0.61,0.61,0.61,0.64,0.63,0.63,0.64,0.64,0.63,0.64,0.63,0.63,0.64,0.63,0.62,0.62,0.63,0.63,0.62,0.63,0.63,0.63,0.64,0.63,0.62,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
γ_R(DC)*,0.23,0.79,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
γ_R(PAR)*,0.37,0.75,0.74,0.73,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.72,0.72,0.67,0.68,0.68,0.6900000000000001,0.6900000000000001,0.7000000000000001,0.71,0.72,0.72,0.73,0.68,0.6900000000000001,0.7000000000000001,0.71,0.72,0.73,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
